Timestamp,Indoor_Temp_C,Indoor_Humidity_Percent
1/22/25 0:00,13.13,77.8
1/22/25 4:00,11.7,80.29
1/22/25 8:00,12.41,69.85
1/22/25 12:00,18.76,54.05
1/22/25 16:00,20.08,57.18
1/22/25 20:00,15.35,73.32
1/23/25 0:00,14.28,76.77
1/23/25 4:00,14.63,58.26
1/23/25 8:00,14.35,49.65
1/23/25 12:00,19.42,49.9
1/23/25 16:00,19.61,52.56
1/23/25 20:00,15.23,72
1/24/25 0:00,13.26,72.34
1/24/25 4:00,12.9,69.91
1/24/25 8:00,13.06,67.77
1/24/25 12:00,19.13,60.23
1/24/25 16:00,19.64,57.92
1/24/25 20:00,15,80.39
1/25/25 0:00,12.76,86.27
1/25/25 4:00,12.22,85.41
1/25/25 8:00,10.92,86.05
1/25/25 12:00,19.01,61.01
1/25/25 16:00,18.62,59.27
1/25/25 20:00,16.88,65.43
1/26/25 0:00,15.34,66.09
1/26/25 4:00,15.87,64.9
1/26/25 8:00,14.13,76.01
1/26/25 12:00,18.68,55.5
1/26/25 16:00,19.5,56.06
1/26/25 20:00,15.4,75.05
1/27/25 0:00,14.25,80.37
1/27/25 4:00,12.91,78.43
1/27/25 8:00,13.1,70.12
1/27/25 12:00,19.01,59.53
1/27/25 16:00,20.15,56.87
1/27/25 20:00,15.72,66.21
1/28/25 0:00,15.27,67.44
1/28/25 4:00,15.06,59.1
1/28/25 8:00,15.61,55.08
1/28/25 12:00,19.36,61.6
1/28/25 16:00,18.83,57.34
1/28/25 20:00,16.2,67.17
1/29/25 0:00,14.88,77.26
1/29/25 4:00,13.25,76.48
1/29/25 8:00,12.4,79.44
1/29/25 12:00,15.73,62.06
1/29/25 16:00,16.39,58.18
1/29/25 20:00,14.09,71.45
1/30/25 0:00,12.65,78.4
1/30/25 4:00,11.47,81.36
1/30/25 8:00,11.48,76.92
1/30/25 12:00,17.18,55.64
1/30/25 16:00,18.94,48.5
1/30/25 20:00,14.54,66.7
1/31/25 0:00,13.7,68.54
1/31/25 4:00,11.21,79.36
1/31/25 8:00,11.34,80.16
1/31/25 12:00,17.22,67.11
1/31/25 16:00,19.14,36.32
1/31/25 20:00,15.04,83.2
2/1/25 0:00,12.76,91.15
2/1/25 4:00,12.38,90.45
2/1/25 8:00,12.88,87.71
2/1/25 12:00,15.74,75.19
2/1/25 16:00,14.98,81.38
2/1/25 20:00,14.57,84.66
2/2/25 0:00,13.94,85.56
2/2/25 4:00,11.66,83.37
2/2/25 8:00,13.31,80.01
2/2/25 12:00,16.25,59.39
2/2/25 16:00,16.38,57.06
2/2/25 20:00,13.73,71.66
2/3/25 0:00,12.01,78.86
2/3/25 4:00,11.95,78.16
2/3/25 8:00,11.2,72.74
2/3/25 12:00,14.65,68.23
2/3/25 16:00,15.83,73.13
2/3/25 20:00,14.04,82.61
2/4/25 0:00,13.81,84.62
2/4/25 4:00,12.7,86.99
2/4/25 8:00,13.08,85.46
2/4/25 12:00,16.6,63.01
2/4/25 16:00,16.63,67.09
2/4/25 20:00,13.88,86.77
2/5/25 0:00,13.3,84.14
2/5/25 4:00,12.89,83.24
2/5/25 8:00,12.81,78.59
2/5/25 12:00,17.04,56.86
2/5/25 16:00,16.94,59.38
2/5/25 20:00,13.73,78.53
2/6/25 0:00,12.33,86.1
